site,month,year,t.start,t.end
SandyLoam,may,2002,08-05-2002 09:02,08-05-2002 09:32
SandyLoam,may,2002,08-05-2002 09:32,08-05-2002 10:01
SandyLoam,may,2002,08-05-2002 10:01,08-05-2002 10:38
SandyLoam,may,2002,08-05-2002 10:38,08-05-2002 11:28
SandyLoam,may,2002,08-05-2002 11:28,08-05-2002 12:22
SandyLoam,may,2002,08-05-2002 12:22,08-05-2002 13:52
SandyLoam,may,2002,08-05-2002 13:52,08-05-2002 15:54
SandyLoam,may,2002,08-05-2002 15:54,08-05-2002 19:02
SandyLoam,may,2002,08-05-2002 19:02,09-05-2002 01:32
SandyLoam,may,2002,09-05-2002 01:32,09-05-2002 08:55
SandyLoam,may,2002,09-05-2002 08:55,09-05-2002 13:54
SandyLoam,may,2002,09-05-2002 13:54,10-05-2002 13:17
SandyLoam,may,2002,10-05-2002 13:17,11-05-2002 00:01
SandyLoam,may,2002,11-05-2002 00:01,11-05-2002 12:01
SandyLoam,may,2002,11-05-2002 12:01,12-05-2002 00:05
SandyLoam,may,2002,12-05-2002 00:05,12-05-2002 12:23
SandyLoam,may,2002,12-05-2002 12:23,13-05-2002 01:14
SandyLoam,may,2002,13-05-2002 01:14,13-05-2002 21:11
SandyLoam,may,2002,13-05-2002 21:11,16-05-2002 10:25
SandyLoam,may,2003,15-05-2003 08:45,15-05-2003 09:14
SandyLoam,may,2003,15-05-2003 09:14,15-05-2003 09:44
SandyLoam,may,2003,15-05-2003 09:44,15-05-2003 10:44
SandyLoam,may,2003,15-05-2003 10:44,15-05-2003 11:44
SandyLoam,may,2003,15-05-2003 11:44,15-05-2003 12:44
SandyLoam,may,2003,15-05-2003 12:44,15-05-2003 14:44
SandyLoam,may,2003,15-05-2003 14:44,15-05-2003 16:47
SandyLoam,may,2003,15-05-2003 16:47,15-05-2003 21:01
SandyLoam,may,2003,15-05-2003 21:01,16-05-2003 06:38
SandyLoam,may,2003,16-05-2003 06:38,16-05-2003 11:44
SandyLoam,may,2003,16-05-2003 11:44,16-05-2003 16:44
SandyLoam,may,2003,16-05-2003 16:44,17-05-2003 06:45
SandyLoam,may,2003,17-05-2003 06:45,17-05-2003 18:17
SandyLoam,may,2003,17-05-2003 18:17,18-05-2003 07:43
SandyLoam,may,2003,18-05-2003 07:43,18-05-2003 20:01
SandyLoam,may,2003,18-05-2003 20:01,19-05-2003 08:41
SandyLoam,may,2003,19-05-2003 08:41,19-05-2003 21:46
SandyLoam,may,2003,19-05-2003 21:46,20-05-2003 06:05
SandyLoam,may,2003,20-05-2003 06:05,20-05-2003 15:44
SandyLoam,may,2003,20-05-2003 15:44,21-05-2003 07:55
SandyLoam,may,2003,21-05-2003 07:55,22-05-2003 07:43
SandyLoam,may,2003,22-05-2003 07:43,23-05-2003 11:22
SandyLoam,may,2003,23-05-2003 11:22,24-05-2003 08:48
SandyLoam,may,2003,24-05-2003 08:48,25-05-2003 16:55
