Start Shift;End Shift;Radiation
03/09/2005 23:00;03/09/2005 23:30;0
03/09/2005 23:30;04/09/2005 00:00;0
04/09/2005 00:00;04/09/2005 00:30;0
04/09/2005 00:30;04/09/2005 01:00;0
04/09/2005 01:00;04/09/2005 01:30;0
04/09/2005 01:30;04/09/2005 02:00;0
04/09/2005 02:00;04/09/2005 02:30;0
04/09/2005 02:30;04/09/2005 03:00;0
04/09/2005 03:00;04/09/2005 03:30;0
04/09/2005 03:30;04/09/2005 04:00;0
04/09/2005 04:00;04/09/2005 04:30;0
04/09/2005 04:30;04/09/2005 05:00;0
04/09/2005 05:00;04/09/2005 05:30;0
04/09/2005 05:30;04/09/2005 06:00;0
04/09/2005 06:00;04/09/2005 06:30;0.006
04/09/2005 06:30;04/09/2005 07:00;0.019
04/09/2005 07:00;04/09/2005 07:30;0.144
04/09/2005 07:30;04/09/2005 08:00;0.141
04/09/2005 08:00;04/09/2005 08:30;0.079
04/09/2005 08:30;04/09/2005 09:00;0.386
04/09/2005 09:00;04/09/2005 09:30;0.379
04/09/2005 09:30;04/09/2005 10:00;0.541
04/09/2005 10:00;04/09/2005 10:30;0.469
04/09/2005 10:30;04/09/2005 11:00;0.557
04/09/2005 11:00;04/09/2005 11:30;0.348
04/09/2005 11:30;04/09/2005 12:00;0.451
04/09/2005 12:00;04/09/2005 12:30;0.468
04/09/2005 12:30;04/09/2005 13:00;0.613
04/09/2005 13:00;04/09/2005 13:30;0.904
04/09/2005 13:30;04/09/2005 14:00;0.424
04/09/2005 14:00;04/09/2005 14:30;0.684
04/09/2005 14:30;04/09/2005 15:00;0.426
04/09/2005 15:00;04/09/2005 15:30;0.597
04/09/2005 15:30;04/09/2005 16:00;0.507
04/09/2005 16:00;04/09/2005 16:30;0.447
04/09/2005 16:30;04/09/2005 17:00;0.394
04/09/2005 17:00;04/09/2005 17:30;0.303
04/09/2005 17:30;04/09/2005 18:00;0.217
04/09/2005 18:00;04/09/2005 18:30;0.134
04/09/2005 18:30;04/09/2005 19:00;0.057
04/09/2005 19:00;04/09/2005 19:30;0.005
04/09/2005 19:30;04/09/2005 20:00;0
04/09/2005 20:00;04/09/2005 20:30;0
04/09/2005 20:30;04/09/2005 21:00;0
04/09/2005 21:00;04/09/2005 21:30;0
04/09/2005 21:30;04/09/2005 22:00;0
04/09/2005 22:00;04/09/2005 22:30;0
04/09/2005 22:30;04/09/2005 23:00;0
04/09/2005 23:00;04/09/2005 23:30;0
04/09/2005 23:30;05/09/2005 00:00;0
05/09/2005 00:00;05/09/2005 00:30;0
05/09/2005 00:30;05/09/2005 01:00;0
05/09/2005 01:00;05/09/2005 01:30;0
05/09/2005 01:30;05/09/2005 02:00;0
05/09/2005 02:00;05/09/2005 02:30;0
05/09/2005 02:30;05/09/2005 03:00;0
05/09/2005 03:00;05/09/2005 03:30;0
05/09/2005 03:30;05/09/2005 04:00;0
05/09/2005 04:00;05/09/2005 04:30;0
05/09/2005 04:30;05/09/2005 05:00;0
05/09/2005 05:00;05/09/2005 05:30;0
05/09/2005 05:30;05/09/2005 06:00;0.001
05/09/2005 06:00;05/09/2005 06:30;0.009
05/09/2005 06:30;05/09/2005 07:00;0.025
05/09/2005 07:00;05/09/2005 07:30;0.145
05/09/2005 07:30;05/09/2005 08:00;0.137
05/09/2005 08:00;05/09/2005 08:30;0.054
05/09/2005 08:30;05/09/2005 09:00;0.373
05/09/2005 09:00;05/09/2005 09:30;0.474
05/09/2005 09:30;05/09/2005 10:00;0.547
05/09/2005 10:00;05/09/2005 10:30;0.605
05/09/2005 10:30;05/09/2005 11:00;0.665
05/09/2005 11:00;05/09/2005 11:30;0.703
05/09/2005 11:30;05/09/2005 12:00;0.732
05/09/2005 12:00;05/09/2005 12:30;0.746
05/09/2005 12:30;05/09/2005 13:00;0.755
05/09/2005 13:00;05/09/2005 13:30;0.749
05/09/2005 13:30;05/09/2005 14:00;0.721
05/09/2005 14:00;05/09/2005 14:30;0.687
05/09/2005 14:30;05/09/2005 15:00;0.644
05/09/2005 15:00;05/09/2005 15:30;0.589
05/09/2005 15:30;05/09/2005 16:00;0.524
05/09/2005 16:00;05/09/2005 16:30;0.443
05/09/2005 16:30;05/09/2005 17:00;0.342
05/09/2005 17:00;05/09/2005 17:30;0.276
05/09/2005 17:30;05/09/2005 18:00;0.176
05/09/2005 18:00;05/09/2005 18:30;0.085
05/09/2005 18:30;05/09/2005 19:00;0.041
05/09/2005 19:00;05/09/2005 19:30;0.006
05/09/2005 19:30;05/09/2005 20:00;0
05/09/2005 20:00;05/09/2005 20:30;0
05/09/2005 20:30;05/09/2005 21:00;0
05/09/2005 21:00;05/09/2005 21:30;0
05/09/2005 21:30;05/09/2005 22:00;0
05/09/2005 22:00;05/09/2005 22:30;0
05/09/2005 22:30;05/09/2005 23:00;0
05/09/2005 23:00;05/09/2005 23:30;0
05/09/2005 23:30;06/09/2005 00:00;0
06/09/2005 00:00;06/09/2005 00:30;0
06/09/2005 00:30;06/09/2005 01:00;0
06/09/2005 01:00;06/09/2005 01:30;0
06/09/2005 01:30;06/09/2005 02:00;0
06/09/2005 02:00;06/09/2005 02:30;0
06/09/2005 02:30;06/09/2005 03:00;0
06/09/2005 03:00;06/09/2005 03:30;0
06/09/2005 03:30;06/09/2005 04:00;0
